sentiment,headline,translated_text
positive,"According to HKScan Finland , the plan is to increase J+�rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .","По данным HKScan Finland, план состоит в том, чтобы увеличить чистый объем продаж J+Ârvi-Suomen Portti с 80 до 100 млн евро."
positive,"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .","Доходы от рекламы и тиража выросли на 3,4% и на 0,4% соответственно."
positive,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",После поглощения Cramo станет вторым по величине поставщиком услуг аренды на латвийском рынке.
positive,"Again , the most significant sales increase of 18.6 % was in Russia .","И вновь самый значительный рост продаж – на 18,6% – произошел в России."
positive,Alma Media expects its net sales to increase as forecast previously .,"Alma Media ожидает увеличения чистых продаж, как и прогнозировалось ранее."
positive,Also Lemmink+�inen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,"Также прибыль Lemmink+�inen за отчетный период выросла до 3,1 млн евро с -24,5 млн евро годом ранее."
positive,"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .","На конец марта 2007 года портфель заказов группы составил 39,6 млн евро, что на 42% больше, чем за соответствующий период 2006 года."
positive,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",В то же время прибыль компании в первом полугодии выросла на 10% и достигла 79 000 латов.
neutral,Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .,"Компания Aviation Systems Maintenance находится в Канзасе, ее чистый объем продаж в 2008 году составил 2,6 миллиона долларов США."
positive,"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .","Кроме того, мы увеличили долю мяса в различных колбасах и предлагаем ряд новых вкусов в сегменте гриль-продуктов и шашлыков», — рассказал Павел."
positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .","Операционная прибыль и чистый объем продаж за 12-месячный период увеличились соответственно с 10,5 млн евро и 28,8 млн евро по сравнению с 2004 финансовым годом."
positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .","Операционная прибыль и чистый объем продаж за 12-месячный период увеличились соответственно с 20,8 млн евро и 177,7 млн ​​евро по сравнению с 2004 финансовым годом."
positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .","Операционная прибыль и чистый объем продаж за 12-месячный период увеличились соответственно с 21,5 млн евро и 196,1 млн евро по сравнению с 2005 годом."
positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .","Операционная прибыль и чистый объем продаж за 12-месячный период увеличились соответственно с 4,7 млн ​​евро и 26,7 млн ​​евро по сравнению с 2004 годом."
positive,"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .","Операционная прибыль и чистый объем продаж за девять месяцев увеличились соответственно на 26,6% и 3,4% по сравнению с соответствующим периодом 2006 года."
positive,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .","Операционная прибыль и чистый объем продаж за шестимесячный период увеличились соответственно с 13,8 млн евро и 143,6 млн евро по сравнению с соответствующим периодом 2007 года."
positive,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .","Операционная прибыль и чистый объем продаж за шестимесячный период увеличились соответственно с 0,4 млн евро и 3,2 млн евро по сравнению с соответствующим периодом 2005 года."
positive,"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .","Операционная прибыль и чистый объем продаж за шестимесячный период увеличились соответственно с 18,1 млн евро и 127,6 млн евро по сравнению с соответствующим периодом 2006 года."
positive,"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .","Операционная прибыль и чистый объем продаж за шестимесячный период увеличились соответственно с 7,5 млн евро и 655,5 млн евро по сравнению с соответствующим периодом 2005 года."
positive,"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .","Операционная прибыль и чистый объем продаж за трехмесячный период увеличились соответственно с 15,1 млн евро и 131,5 млн евро по сравнению с соответствующим периодом 2005 года."
positive,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .","Операционная прибыль и чистый объем продаж за трехмесячный период увеличились соответственно с 16,0 млн евро и 139 млн евро по сравнению с соответствующим кварталом 2006 года."
positive,"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .","Операционная прибыль и объем продаж за трехмесячный период увеличились соответственно с 0,3 млн евро и 13,1 млн евро по сравнению с соответствующим периодом 2005 года."
positive,"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .","Операционная прибыль и оборот за девять месяцев увеличились соответственно с 2,4 млн евро и 43,8 млн евро по сравнению с соответствующим периодом год назад."
positive,"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .","Операционная прибыль и оборот за шестимесячный период увеличились соответственно с 17,6 млн евро и 1149,9 млн евро по сравнению с соответствующим периодом 2007 года."
positive,"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .","Операционная прибыль и оборот за шестимесячный период увеличились соответственно с 0,1 млн евро и 29,0 млн евро по сравнению с соответствующим периодом год назад."
positive,Cargo volume grew by 7 % .,Объем грузовых перевозок вырос на 7%.
positive,Cargo volume increased by approximately 5 % .,Объем грузов увеличился примерно на 5%.
positive,"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",сопоставимая операционная прибыль составила 854 млн евро по сравнению с 730 млн евро в 2004 году.
positive,"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .","Digia сообщила, что ее консолидированный чистый объем продаж за январь-июнь 2010 года составил 67,8 млн евро, что на 9,7% больше, чем за тот же период 2009 года (61,9 млн евро)."
positive,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,"Разводненная прибыль на акцию (EPS) выросла до 0,29 евро с 0,05 евро."
positive,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,"Разводненная прибыль на акцию (EPS) выросла до 0,52 евро против 0,09 евро."
positive,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,"Разводненная прибыль на акцию (EPS) выросла до 1,05 евро с 0,64 евро."
positive,Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,"Разводненная прибыль на акцию (EPS) выросла до 3,68 евро с 0,50 евро."
positive,Diluted EPS rose to EUR3 .68 from EUR0 .50 .,"Разводненная прибыль на акцию выросла до 3,68 евро с 0,50 евро."
positive,EBIT margin was up from 1.4 % to 5.1 % .,"Маржа EBIT выросла с 1,4% до 5,1%."
neutral,"Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 .","Примечание редактора: В 2005 году оборот Гримальди составил 1,7 миллиарда евро (2,182 миллиарда долларов), сообщило ANSA 29 мая 2006 года."
positive,"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .","Прибыль на акцию за квартал составила 0,00 евро по сравнению с 0,01 евро в третьем квартале 2008 года, что означает, что чистый объем продаж Группы за третий квартал составил 15,3 миллиона евро, что на 2,8% больше по сравнению с 14,9 миллиона евро в предыдущем квартале. третий квартал 2008 года."
positive,"EPS from continuing operations came in at 0.30 eur , up from 0.17 .","Прибыль на акцию от продолжающейся деятельности составила 0,30 евро по сравнению с 0,17 ."
positive,"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .","Доля собственного капитала составила 60,9% по сравнению с 54,2%. В третьем квартале 2007 года чистый объем продаж подразделения замороженных продуктов составил 11,0 евро, что примерно на 5% больше, чем в третьем квартале 2006 года."
positive,"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .","928 000 евро в первом квартале 2010 года 6 мая 2010 г. - Финская компания по дизайну текстиля и одежды Marimekko Oyj (HEL: MMO1V) сообщила сегодня, что ее чистая прибыль выросла до 928 000 евро в первом квартале 2010 года с 13 000 евро в соответствующем периоде годом ранее. ."
positive,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .","Финская компания Elcoteq SE, частный поставщик услуг по производству электроники для коммуникационных компаний, заявила в четверг, что подписала долгосрочное соглашение о поставках продукции с компанией Эндрю Корп., производящей коммуникационное оборудование."
positive,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,"Финский производитель столовых приборов и ручных инструментов Fiskars Oyj Abp (HEL: FISAS) сообщил сегодня, что его чистая прибыль выросла до 24,1 миллиона евро (33,6 миллиона долларов США) в третьем квартале 2010 года с 17,9 миллиона евро годом ранее."
positive,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,"Чистая прибыль финской сети универмагов Stockmann Oyj Abp выросла до 39,8 млн евро ( $56,8 млн ) за первые девять месяцев 2007 года с 37,4 млн евро ( $ 53,4 млн ) за аналогичный период 2006 года ."
positive,"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .","Финский производитель подъемного оборудования Konecranes Oyj сообщил 30 июля 2008 года, что его чистая прибыль выросла до 71,2 млн евро ($111,1 млн) за первое полугодие 2008 года с 57,1 млн евро ($89,1 млн) за тот же период 2007 года."
positive,Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .,"Финский разработчик решений для обмена сообщениями Tecnomen Corporation (OMX Helsinki: TEM1V) заявил в четверг (11 декабря), что получил заказ на расширение своего решения для конвергентной зарядки в Латинской Америке."
positive,Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,"Чистая прибыль финского поставщика решений для металлургической промышленности Outotec Oyj выросла до 50,4 млн евро ($72,5 млн) за первые девять месяцев 2007 года с 20,1 млн евро ($28,9 млн) за тот же период 2006 года."
positive,Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,"Чистая прибыль финской металлургической компании Componenta Oyj выросла до 26,1 млн евро ($35,9 млн) за первый квартал 2007 года с 5,3 млн евро ($7,3 млн) за аналогичный период 2006 года."
positive,Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,"Финский продавец канцелярских товаров и компьютерных аксессуаров Beltton-Group Plc сообщил, что его чистая прибыль выросла до 1,3 млн евро ($1,7 млн) в 2006 году с 1,13 млн евро ($1,5 млн) в 2005 году."
positive,"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .","Финский разработчик программного обеспечения для обеспечения безопасности и конфиденциальности Stonesoft Oyj сообщил 7 января 2008 года, что предварительные продажи его продуктов StoneGate выросли на 59 процентов в годовом исчислении до 3,6 миллиона евро (5,3 миллиона долларов США) в четвертом квартале 2007 года."
positive,"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .","Финская компания по производству кремниевых пластин Okmetic Oyj (OMX Helsinki: OKM1V) сообщила в четверг (7 августа) об операционной прибыли в размере 5,3 млн евро за период с января по июнь 2008 года по сравнению с 3,3 млн евро за соответствующий период 2007 года."
positive,Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,"Финский разработчик программного обеспечения Done Solutions Oyj сообщил, что его чистая прибыль увеличилась до 3,5 млн евро ($4,6 млн) в 2006 году с 2,3 млн евро ($3,0 млн) в 2005 году."
positive,First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,Базовая операционная прибыль в первом квартале выросла до 41 миллиона евро с 33 миллионов годом ранее.
positive,"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .","После приобретения Relacom усилит свое присутствие в Финляндии, предоставляя операторам и офисному рынку услуги по строительству, установке и обслуживанию мобильных и фиксированных сетей."
positive,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",За девять месяцев 2010 года чистая прибыль компании выросла до 41 млн евро с 30 млн евро за соответствующий период 2009 года.
positive,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .","ХЕЛЬСИНКИ (AFX) – Группа розничной и оптовой торговли Kesko сообщила о чистом объеме продаж в 659,4 млн евро за февраль, что на 10,8% больше, чем в прошлом году."
positive,"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .","Однако чистый объем продаж в 2010 году, как ожидается, вырос до 598,3 миллиона евро с 582,3 миллиона евро в 2009 году."
positive,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .","Однако продажи вернулись к росту в апреле-июне 2010 года, сообщил генеральный директор Пекка Элохольма."
positive,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .","Ragutis, контролируемая финской пивоварней, сообщила о росте продаж пива на 5,4% до 10,44 млн литров и заняла 11,09% рынка."
positive,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .","Svyturys-Utenos Alus, контролируемая скандинавской группой Baltic Beverages Holding (BBH), сообщила о 4,7-процентном росте продаж пива за январь-май до 46,22 млн литров."
neutral,"In 2007 , Contempus generated revenue of NOK 69.3 ( approx .","В 2007 году выручка Contempus составила 69,3 норвежских крон (ок."
positive,"In addition , Kone signed a two-year maintenance contract for the escalators .","Кроме того, Kone подписала двухлетний контракт на техническое обслуживание эскалаторов."
positive,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .","Только в декабре члены Ассоциации пивоваров Литвы продали в общей сложности 20,3 миллиона литров пива, что на 1,9 процента больше продаж в 19,92 миллиона литров в декабре 2004 года."
positive,"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .","В январе-сентябре 2009 года чистый процентный доход Группы увеличился до 112,4 млн евро с 74,3 млн евро в январе-сентябре 2008 года."
positive,"In Q1 of 2010 , Bank of +_land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .","В первом квартале 2010 года чистый процентный доход Bank of +_land увеличился с 9,1 млн евро до 9,7 млн ​​евро ."
positive,"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .","В Швеции операционная прибыль за рассматриваемый период составила 3,4 млн евро, что на 30,8% больше аналогичного периода 2005 года."
positive,"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .","В четвертом квартале 2009 года чистая прибыль Orion выросла на 33,8% в годовом исчислении до 33 миллионов евро."
positive,"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .","Во втором квартале 2010 года чистая прибыль группы выросла до 3,1 миллиона евро с 2,5 миллиона евро в апреле-июне 2009 года."
positive,"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .","Во втором квартале 2010 года чистая прибыль группы выросла до 3,1 млн евро с 2,5 млн евро в апреле-июне 2009 года."
positive,"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .","В третьем квартале чистый объем продаж увеличился на 12% в годовом исчислении до 159,5 млн евро, или на 6% при росте сопоставимых валютных курсов."
positive,"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .","В третьем квартале чистый объем продаж увеличился на 12% в годовом исчислении до 159,5 млн евро, или на 6% при росте сопоставимых валютных курсов."
neutral,Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,"По оценкам Incap, в 2007 году доход от операций в Индии составит 10 миллионов евро (13,2 миллиона долларов)."
positive,Its market share widened to 48.51 percent from 48.31 percent a year earlier .,"Ее рыночная доля увеличилась до 48,51 процента с 48,31 процента годом ранее."
neutral,Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .,"Его общий годовой доход составляет около 160 млн злотых ($56,9 млн-42,3 млн евро)."
positive,"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .","Kesko Agro Eesti, розничный и оптовый продавец зерна, сельскохозяйственной и складской техники и аксессуаров, имел чистый объем продаж в 81 миллион евро в 2007 году, что на одну десятую больше, чем в предыдущем году."
positive,"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .","Подразделение Kesko по импорту и розничной торговле автомобилями, VV-Auto, продемонстрировало рост продаж на 17,1%."
positive,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,За первые девять месяцев 2008 года чистый объем продаж Kone вырос примерно на 14% в годовом исчислении.
positive,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .","(ADP News) – 11 февраля 2009 г. – Финский поставщик программных решений для управления Ixonos Oyj (HEL: XNS1V) сообщил сегодня, что его чистая прибыль выросла до 3,5 млн евро (4,5 млн долларов США) в 2008 году с 3,1 млн евро в 2007 году."
positive,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .","(ADP News) – 12 февраля 2009 г. – Финский поставщик ИТ-решений Affecto Oyj (HEL: AFE1V) сообщил сегодня, что его чистая прибыль выросла до 8,5 миллионов евро (11 миллионов долларов США) в 2008 году с 7 миллионов евро в 2007 году."
positive,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .","(ADP News) – 6 февраля 2009 г. – Финская компания по производству рыболовных снастей Rapala VMC Corp (HEL: RAP1V) сообщила сегодня, что ее чистая прибыль выросла до 19,2 миллиона евро (24,6 миллиона долларов США) в 2008 году с 17,5 миллиона евро в 2007 году."
positive,"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1","(ADP News) – 5 ноября 2008 г. – Финский производитель электронных измерительных приборов и решений Vaisala Oyj (OMX:VAIAS) сообщил сегодня, что его чистая прибыль выросла с 1 евро до 18 миллионов евро (23,1 миллиона долларов США) за первые девять месяцев 2008 года."
positive,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s","(ADP News) – 29 октября 2008 г. – Финский производитель подъемного оборудования Konecranes Oyj (OMX: KCR1V) заявил сегодня, что его чистая прибыль выросла до 116,6 млн евро (149,1 млн долларов США) за первые девять месяцев 2008 года с 73,6 млн евро за первые девять месяцев 2008 года. с"
positive,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .","Metso ожидает, что ее чистые продажи увеличатся примерно на 10% в 2008 году при сопоставимых обменных курсах."
neutral,"M-real generated a turnover of EUR5 .6 bn in 2006 and has 15,500 employees .","В 2006 году оборот M-real составил 5,6 млрд евро, а штат сотрудников составил 15 500 человек."
positive,"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .","Neste Oil Corp. подписала долгосрочные контракты на закупку с Honkajoki Oy и Findest Protein Oy, принадлежащими финским производителям продуктов питания, на поставку животного жира для производства биодизельного топлива на нефтеперерабатывающем заводе Neste в Порвоо мощностью 200 000 барр. куб.д в Финляндии."
positive,Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,"Чистый процентный доход увеличился на 4,5% до 31,4 млн евро с 30,0 млн евро в 2004 году."
positive,"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .","Чистый процентный доход составил 152,2 млн евро по сравнению со 101,0 млн евро в 2008 году."
positive,"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .","Чистый процентный доход составил 39,3 млн евро по сравнению с 32,7 млн ​​евро ."
positive,Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,"Чистый объем продаж бизнеса по производству растительных масел вырос до 10,6 млн евро с 10,1 млн евро ."
positive,"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .","Чистый объем продаж Nokia Multimedia составил 5,7 млрд евро, что на 45% больше, чем за соответствующий период 2005 года."
positive,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,"Операционная прибыль выросла до 696,4 млн евро с 600,3 млн евро в 2009 году."
positive,"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .","Операционная прибыль группы Kauppalehti выросла до 1,5 млн евро с 1,3 млн евро, а прибыль Marketplaces - до 1,3 млн евро с 1,0 млн евро в третьем квартале 2006 года."
positive,Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,"Операционная прибыль выросла с 1,94 млн евро до 2,45 млн евро."
positive,Operating profit rose to 22.1 mln eur from 19.9 mln .,"Операционная прибыль выросла до 22,1 млн евро с 19,9 млн ."
positive,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,"Операционная прибыль выросла до 1,6 млн евро с 1,1 млн евро в соответствующем периоде 2006 года."
positive,Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,"Операционная прибыль выросла до 103,4 млн евро с 23,2 млн евро в соответствующем периоде 2006 года."
positive,Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,"Операционная прибыль выросла до 13,5 млн евро с 9,7 млн ​​евро в соответствующем периоде 2006 года."
positive,Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,"Операционная прибыль выросла до 26,7 млн ​​евро с 14,9 млн евро в соответствующем периоде 2006 года."
positive,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,"Операционная прибыль выросла до 27,8 млн евро с 17,5 млн евро в 2008 году."
positive,Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,"Операционная прибыль выросла до 3,2 млн евро с 1,0 млн евро в соответствующем периоде 2008 года."
positive,Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,"Операционная прибыль выросла до 4,7 млн ​​евро с 3,6 млн евро ."
positive,Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,"Операционная прибыль выросла до 4,7 млн ​​евро с 4,6 млн евро ."
positive,Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,"Операционная прибыль выросла до 9,2 млн евро с 6,8 млн евро в соответствующем периоде 2007 года."
positive,Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,"Операционная прибыль выросла до 2,4 млн евро с 1,6 млн евро годом ранее."
positive,"Operating profit surged to EUR21m from EUR106 ,000 .",Операционная прибыль выросла до 21 миллиона евро со 106 000 евро.
positive,"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .","Операционная прибыль составила 37,7 млн ​​евро, немного увеличившись с 37,2 млн евро в соответствующем периоде 2006 года."
positive,"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .","Операционная прибыль составила 5,5 млн евро по сравнению с -0,7 млн ​​евро ."
positive,"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .","Операционная прибыль составила 11,4 млн евро по сравнению с 7,5 млн евро ."
positive,"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .","Операционная прибыль составила 139,7 млн ​​евро, увеличившись на 23% со 113,8 млн евро."
positive,"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .","Поступление заказов выросло на 40 % в годовом исчислении и на 30 % в годовом исчислении соответственно до 576 миллионов евро и 1,7 миллиардов евро за соответствующие периоды с января по сентябрь и с июля по сентябрь 2010 года."
positive,Orders received grew by 55 % year-on-year to EUR732m .,Полученные заказы выросли на 55 % в годовом исчислении до 732 млн евро.
positive,Orion Pharma 's operating profit increased by 42.5 % from 2004 .,"Операционная прибыль Орион Фарма увеличилась на 42,5% по сравнению с 2004 годом."
positive,Passenger volumes rose by 8.4 % in the accounting period .,"Пассажиропоток за отчетный период увеличился на 8,4%."
positive,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,"Доходы от пассажирских перевозок выросли на 5,1% до 460,8 млн евро с 438,5 млн евро в 2009 году."
positive,"Press release 9 October 2009 Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .","Пресс-релиз 9 октября 2009 г. Ruukki подписала контракт на поставку и монтаж стальных конструкций моста через пролив Кюронсалми в Савонлинне, Финляндия."
positive,Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,"Прибыль до налогообложения выросла до 0,6 млн евро с 0,4 млн евро в соответствующем периоде 2005 года."
