headline,sentiment,translated_text
Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,negative,Финская компания Stockmann Group закрыла семь франчайзинговых спортивных магазинов Nike в России.
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",positive,"Прибыль Whitbread растет, поскольку продажи продолжают расти и ищут нового генерального директора"
Aspocomp has repaid its interest bearing liability to Standard Chartered Bank and will use the rest of the consideration to partially repay its interest bearing liabilities in Finland and to improve its liquidity .,positive,Aspocomp погасила свои процентные обязательства перед Standard Chartered Bank и направит остальную сумму на частичное погашение своих процентных обязательств в Финляндии и улучшение своей ликвидности.
"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",negative,"Fastenal отстает на 0,01 доллара, теряет доход в размере $FAST #NYSE https://t.co/63JHQ7pwMN"
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .,neutral,"Финская инвестиционная группа Norvestia Oyj заявила, что ее чистая прибыль упала до 23,5 млн евро (30,6 млн евро) в 2006 году с 33,5 млн евро (43,6 млн евро в 2005 году)."
"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .",neutral,"Комиссия обнаружила доказательства нескольких встреч по обсуждению картеля, в том числе встречи в брюссельском ресторане в ноябре 1997 года, на которой компании обсуждали повышение цен."
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",neutral,"В рамках мер по реорганизации, которые состоятся весной 2006 года, Tamglass Finton начнет кадровые переговоры, которые затронут весь ее штат, насчитывающий 33 человека."
This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .,neutral,"Это соответствует 4,628 процентам акционерного капитала и прав голоса Okmetic."
"Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies .",positive,"Тим Кокрофт имеет превосходный послужной список, имея более чем 18-летний опыт; Кроме того, Тим успешно развивал операции на рынках капитала в Kaupthing Singer & Friedlander, включая корпоративное финансирование и брокерскую деятельность, уделяя особое внимание компаниям среднего бизнеса."
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,neutral,"25 ноября 2010 г. – Финская компания по производству красок и покрытий Tikkurila Oyj (HEL: TIK1V) сообщила сегодня, что финская государственная инвестиционная компания Solidium Oy продала свои 14,7% акций компании на общую сумму 98 млн евро."
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,neutral,"Дальность видимости на взлетно-посадочной полосе — это расчетная оценка расстояния, которое пилот может видеть на взлетно-посадочной полосе."
"ABN Amro Capital has agreed to sell its Helsinki-based designer homeware producer , Iittala Oyj , to crosstown consumer products group Fiskars Corp. , for EUR230 million to EUR235 million ( $ 310 million to $ 316 million ) .",neutral,ABN Amro Capital согласилась продать своего расположенного в Хельсинки производителя дизайнерских товаров для дома Iittala Oyj городской группе потребительских товаров Fiskars Corp. за 230–235 миллионов евро (от 310 до 316 миллионов долларов).
Feed companies Suomen Rehu and Raisio do no import GMO feed .,neutral,Кормовые компании Suomen Rehu и Raisio не импортируют ГМО-корма.
"Tecnomen 's solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks .",neutral,"Решение Tecnomen можно использовать для предоплаченного и постоплатного биллинга, для тарификации и тарификации голосовых и видеозвонков, трафика данных и любого рода контент-услуг как в мобильных, так и в фиксированных сетях."
Performance is based on values and sustainability .,neutral,Производительность основана на ценностях и устойчивом развитии.
"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",neutral,"Biohit заявила, что сократит количество арендованного персонала на 10 человек и уволит 10 собственных сотрудников."
$GEVO PLUNGING!  Back to $3.55.,negative,"$GEVO ПОГРУЖАЕТСЯ! Вернемся к 3,55 доллара."
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive,"Чистая прибыль компании выросла на 11,4% по сравнению с аналогичным периодом прошлого года до 82,2 млн евро в 2005 году при объеме продаж в 686,5 млн евро, что на 13,8% больше, чем в прошлом году, сообщила компания ранее."
Earnings per share EPS amounted to EUR0 .01 .,neutral,"Прибыль на акцию составила 0,01 евро."
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",negative,"Ingenious, HSBC, UBS и Coutts подали в суд на клиентов, уклоняющихся от уплаты налогов"
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,Договор о покупке 7200 тонн бензина с поставкой на терминал Хамина в Финляндии заключен с Neste Oil OYj по среднему индексу Platts за сентябрь текущего года плюс восемь долларов США в месяц.
Short on $ATVI from 24.55.,negative,Короткая позиция по $ATVI от 24.55.
$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,positive,$PKT Создание импульса для триггера прорыва! Долгая настройка http://stks.co/eXVU
The platform would continue to be the development framework for Symbian and MeeGo .,neutral,Платформа по-прежнему будет основой разработки для Symbian и MeeGo.
"19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",neutral,"19 мая 2010 г. – Финская компания Lemminkainen Oyj (HEL: LEM1S) заявила сегодня, что построит офисное здание в Тоолонлахти в центре Хельсинки, не раскрывая финансовых подробностей."
"The final price will be specified by 14 May 2010 , the acquiring company said .",neutral,"Окончательная цена будет определена к 14 мая 2010 года, сообщили в компании-покупателе."
"Nordea Pankki Suomi Oyj , according to previously announced , has made forward contracts on Alma Media Corporation shares .",neutral,"Nordea Pankki Suomi Oyj, как сообщалось ранее, заключила форвардные контракты на акции Alma Media Corporation."
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",neutral,"Прибыль до уплаты налогов составила 4,0 млн евро по сравнению с 4,9 млн евро ."
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,neutral,Они оба будут подчиняться генеральному директору Oriola-KD Ээро Хаутаниеми.
"By cutting the number of plants , the group will trim fixed costs .",positive,"Сокращая количество заводов, группа сократит постоянные затраты."
"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",negative,"$SINA, даже несмотря на то, что «отчет» не соответствует действительности и его ложность доказана, ущерб уже нанесен. Никто не хочет трогать это сейчас"
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,positive,Правительство Меркель заявило о поддержке слияния Deutsche Boerse и LSE
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',neutral,"«Операционная прибыль снизилась в основном из-за роста стоимости древесины и вторичного волокна, а также укрепления евро. ''"
CompaniesTesco off to a bad start over Xmas â€“ Kantar,negative,КомпанииTesco плохо начали Рождество – Kantar
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",neutral,Мощность предприятия финской Vaahto Group составляет 86 тыс. тонн мелкомелованной бумаги.
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,neutral,17 марта 2011 г. – Goldman Sachs оценивает негативные перспективы для норвежских мобильных операций норвежской Telenor ASA OSL: TEL и шведской TeliaSonera AB STO: TLSN в краткосрочной перспективе.
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral,"Компания Steek, основанная в 2002 году, базируется в Бордо, на юго-западе Франции."
President and CEO Mika Vehvil+ñinen says the positive signs are first and foremost emerging outside Finland .,positive,"Президент и генеральный директор Мика Вехвил+нинен говорит, что положительные признаки в первую очередь появляются за пределами Финляндии."
Finnish construction group Lemmink+ñinen has been awarded two road building contracts by the Lithuanian transport administration .,positive,Финская строительная группа Lemmink+ñinen получила от Литовской транспортной администрации два контракта на строительство дорог.
"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .",neutral,"По мнению Эйкенса, издатель может сделать гораздо больше, чем просто публиковать красочные книги: издатель может повысить ценность информации, индивидуализируя ее."
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 .,neutral,"Финская компания по производству кремниевых пластин Okmetic Oyj OMX Хельсинки: OKM1V сообщила в среду, 17 сентября, что в 2009 году она инвестирует 6 миллионов евро в свой бизнес по производству сенсорных пластин."
$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,positive,"$RAD Я бы рассмотрел эту возможность, чтобы добавить свою позицию, потому что компания находится на правильном пути и продолжает улучшать продажи..."
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,neutral,Низкая загрузка мощностей в производстве стали значительно увеличивает постоянные затраты на единицу произведенной стали.
Work on the assignment has already started and is due for completion in spring 2011 .,neutral,Работа над заданием уже началась и должна завершиться весной 2011 года.
"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE .",positive,"Progress Group, представитель QPR в Саудовской Аравии и Северной Африке, подписала рамочное соглашение о долгосрочных стратегических отношениях с ISE."
Finnish Bank of +àland reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,negative,"Финский Bank of +àland сообщает, что его операционная прибыль упала до 4,9 млн евро в третьем квартале 2007 года с 5,6 млн евро в третьем квартале 2006 года."
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",neutral,"Чистый объем продаж финской компании Kemira в евро снизился до 1 259,6 млн евро в январе-июне 2009 года с 1 425,1 млн евро в январе-июне 2008 года."
Financial terms were not disclosed .,neutral,Финансовые условия сделки не разглашаются .
The company may at any time have in its possession one tenth of all its shares at the maximum .,neutral,Компания может в любое время иметь в своем распоряжении максимум одну десятую всех своих акций.
The value of the orders is about EUR 70mn .,neutral,Стоимость заказов составляет около 70 млн евро.
"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",positive,"РЕЗЮМЕ: Этим утром слухи о том, что $MSFT выделили подразделение XBOX, акции весь день росли и закрылись на максимуме."
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,"По данным финской Metso Minerals, стоимость заказов компании за 12 месяцев выросла до 1,9 млрд евро."
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",neutral,"Таким образом, результат компании за 2005 год останется слабее, чем за 2004 год."
Breakingviews: IAG can pay more for Aer Lingus,positive,Breakingviews: IAG может заплатить больше за Aer Lingus
"The pine oil project is related to the upgrade of the chemical recovery plant of UPM at its pulp mill in Kymi , southern Finland .",neutral,"Проект по производству соснового масла связан с модернизацией установки химической очистки UPM на целлюлозном заводе в Кюми, южная Финляндия."
Standard Chartered Shifts Emerging-Markets Strategy After Losses,negative,Standard Chartered меняет стратегию на развивающихся рынках после потерь
AB InBev to Sell SABMiller Stake in China's Snow Beer,neutral,AB InBev продаст долю SABMiller в китайской компании Snow Beer
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .",neutral,"Группа Marubeni фокусируется на создании «цепочки создания стоимости» от добычи до переработки, охватывающей широкий спектр сфер бизнеса, включая нефть и газ, металлургию, минеральные ресурсы, продукты питания, целлюлозно-бумажную и химическую промышленность, среди других."
"Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates .",positive,"Благодаря своему уникальному опыту в области волокон и инновационному подходу компания занимает сильную позицию на рынке в нескольких сферах бизнеса, в которых она работает."
The personnel s expertise and high level of technology play a major role in Exel Composites operations .,neutral,Опыт персонала и высокий уровень технологий играют важную роль в работе Exel Composites.
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",negative,"Coca-Cola была лидером рынка производителей с долей рынка 36,9%, что на 2,2% меньше, чем за соответствующий период 2004-2005 годов."
Metsa-Botnia will sell 82.1 % of its stake in the Uruguayan companies and Metsaliitto -- 5.5 % .,neutral,"Metsa-Botnia продаст 82,1% своей доли в уругвайской компании, а Metsaliitto - 5,5%."
Aviva weighs cash handout after beating profit forecast,positive,Aviva взвешивает денежные выплаты после превышения прогноза прибыли
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",negative,Tesla отзовет 2700 внедорожников Model X из-за проблем с сиденьями https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,neutral,Убой и разделка крупного рогатого скота на предприятии в Куопио будет перенесена на бойню в Каухайоки.
"`` Adjustment to the fall in price level , in contrast , has been less effective .",neutral,"`` Адаптация к падению уровня цен , напротив , оказалась менее эффективной ."
"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .",neutral,"Okmetic имеет глобальную клиентскую базу и сеть продаж, производственные предприятия в Финляндии и США, а также контрактных производителей в Японии и Китае."
Public services will also be available .,neutral,Также будут доступны государственные услуги.
Asian traffic declined by 3.4 per cent .,neutral,"Азиатский трафик сократился на 3,4 процента."
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,positive,В 2008 году строительные рынки Финляндии и Швеции все еще демонстрировали ежегодный рост на уровне 4%.
Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,neutral,"Сообщение фондовой биржи от 03.10.2011 12:00 Компания Sanoma опубликовала годовой отчет и финансовую отчетность за 2010 год, а также свой первый отчет о корпоративной ответственности."
"The company targets sales of Ls 27.1 mn ( Ls 23.498 mn ) and a profit of Ls 300,000 ( Ls 371,500 ) in 2007 .",neutral,"В 2007 году компания планирует объем продаж в размере 27,1 млн латов (23,498 млн латов) и прибыль в размере 300 000 латов (371 500 латов)."
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,После поглощения Cramo станет вторым по величине поставщиком услуг аренды на латвийском рынке.
Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,neutral,"Ruukki проводит реструктуризацию операций по коммерческому и промышленному строительству, стремясь к постоянным улучшениям и приспосабливая свою деятельность к рыночным условиям."
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",positive,"Прогнозируемый доход составит от 2,2 до 2,3 миллиарда долларов, что немного превышает оценки аналитиков в 2,19 миллиарда долларов."
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",positive,"Брокерская компания заявила, что 2006 год стал «настоящим поворотным моментом» в базовых ценах на сталь в Европе, причем улучшение цен сохранится и во втором квартале 2006 года."
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,negative,Операционная прибыль в четвертом квартале упала до 33 миллионов евро с 39 миллионов евро годом ранее.
$JD down 20% in after-hour market. anyone care to explain why?,negative,"$JD упал на 20% после закрытия рынка. кто-нибудь хочет объяснить, почему?"
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",positive,"Операционная прибыль составила 83,0 млн евро по сравнению с 23,5 млн евро в годовом исчислении."
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,positive,КОРОТКО: Aviva намерена увеличить коэффициент выплаты дивидендов до 50 процентов в 2017 году.
$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,positive,"$EXPE работает над вторым этапом своего разворота, ломая очередной нисходящий тренд и продолжая рост. https://t.co/76DSJysyR0"
"GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .",neutral,"GeoSentric получает дополнительное финансирование путем выпуска максимум 220 000 новых акций и конвертируемых облигаций с правом подписки на 880 000 акций, на которые была осуществлена ​​полная подписка."
"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",positive,"Технические оповещения $ADBE: прорыв расширения, настройка продаж на острове Гиллигана, скачок объема и новые 52... https://t.co/LxX66tknFH"
$IWM same conditions that sent markets to tumble all hitting this week,negative,"$IWM те же самые условия, которые привели к падению рынков на этой неделе"
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,negative,"$AAPL упал почти на 3%, это очень много... теперь лучшее, что я могу сделать, это ДЕРЖАТЬ ЭР лол"
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,positive,"Операционная прибыль увеличилась на 27% до 579,8 млн евро с 457,2 млн евро в 2006 году."
"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .",neutral,"1 декабря Grimaldi приобрела 1,5 миллиона акций и 50,1% акций Finnlines."
Shire proposes $30 bln all-share tie-up with Baxalta,positive,Shire предлагает объединить свои акции с Baxalta на сумму 30 млрд долларов
"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit .",neutral,"В июле прошлого года группа заявила, что намерена переместить складские и офисные помещения из Лудеака и Сен-Марселя в Морвиллар на востоке Франции, где у нее уже имеется подразделение по производству и сбыту крючков."
Pohjola and cooperative banks have continued to combine their branch office network .,neutral,Похъёла и кооперативные банки продолжают объединять сеть своих филиалов.
"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",neutral,"В компании Prothious Engineering (www.prothious.com) работает более 1000 человек, она имеет большой портфель проектов и годовую мощность обработки более 100 000 тонн."
"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",neutral,"Qualcomm оценила прибыль в первом квартале в 46–50 центов на акцию, исключая некоторые статьи, что ниже оценки аналитиков в 61 цент на акцию."
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",negative,"Предоставление ликвидности было прервано 11 мая 2007 года, когда акции Aspocomp Group Oyj торговались ниже 0,50 цента (сообщение фондовой биржи Aspocomp от 11 мая 2007 года)."
The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 .,neutral,Период подписки по схеме варрантов Amer Sports на 2002 год закончится 31 декабря 2007 года.
This transaction will also rationalize our pulp and paper industry related solutions .,positive,"Эта сделка также позволит рационализировать наши решения, связанные с целлюлозно-бумажной промышленностью."
"schwalm ( at ) outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , mobile +358 400 817198 e-mail eila .",neutral,"schwalm (at) outotec.com Эйла Паатела, вице-президент по корпоративным коммуникациям тел. +358 20 529 2004, моб. +358 400 817198 электронная почта eila ."
"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .",positive,"Я с нетерпением жду возможности внести свой вклад в успех SRV своей компетентностью», - говорит Танели Хассинен."
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",neutral,"В четвертом квартале 2008 года чистый объем продаж снизился до 121,4 млн евро с 165,5 млн евро в четвертом квартале 2007 года."
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,positive,Лицензионное соглашение AstraZeneca's MedImmune Ins с Omnis Pharmaceuticals
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",positive,"Поступление заказов выросло на 40 % в годовом исчислении и на 30 % в годовом исчислении соответственно до 576 миллионов евро и 1,7 миллиардов евро за соответствующие периоды с января по сентябрь и с июля по сентябрь 2010 года."
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative,"По оценкам Finnair, в ходе забастовки чистый убыток составит от 2 до 2,5 млн евро в день."
"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .",neutral,В настоящее время 95% доходов Trainers House приходится на финский рынок.
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral,Пульсоксиметр Oxyview — это распространенное устройство для проверки уровня насыщения крови кислородом и частоты пульса пациента.
"The Russian gas giant invested another 46 million litas in the company in late 2004 and now owns 99.5 percent of its stock capital , which amounts to 86.936 million litas .",neutral,"В конце 2004 года российский газовый гигант вложил в компанию еще 46 миллионов литов и теперь владеет 99,5 процента ее акционерного капитала, который составляет 86,936 миллиона литов."
"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France .",neutral,"Компания будет использовать деньги для разработки продукции и исследовательской деятельности до 2013 года на своих ключевых рынках - Финляндии, Германии, Италии и Франции."
"Through its partnership with Finnish Paulig 's Danish subsidiary Oscar , Puljonki acquired a sales organization in the European market .",neutral,Благодаря партнерству с датским филиалом финской компании Paulig Oscar компания Puljonki приобрела торговую организацию на европейском рынке.
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,positive,Финский ОКО-банк подписал соглашение о сотрудничестве с Raiffeisen по вопросам инвестиций финских компаний в Россию.
Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland 's troubled Kaupthing Bank for 414 million kronor $ 49.5 million in cash .,neutral,"Финский банк Alandsbanken заявил в понедельник, что купит шведское подразделение проблемного исландского банка Kaupthing Bank за 414 миллионов крон и 49,5 миллионов долларов наличными."
Exports grew 16.5 percent to 19.1 million liters .,positive,"Экспорт вырос на 16,5 процента и составил 19,1 миллиона литров."
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,"Digia сообщила, что ее консолидированный чистый объем продаж за январь-июнь 2010 года составил 67,8 млн евро, что на 9,7% больше, чем за тот же период 2009 года (61,9 млн евро)."
"The company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 .",neutral,"Компания, в которой работают 6400 человек, сообщила о чистом объеме продаж в 620 млн евро (823,2 млн долларов США) за 2006 год."
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,positive,"TRLPC - CRH поддержала покупку активов Lafarge Holcim бридж-кредитом в 6,5 млрд евро"
G4S sees profits rise but UK contract problems remain,positive,"Прибыль G4S растет, но проблемы с контрактами в Великобритании остаются"
The office space will rise above the remodeled Cannon Street underground station .,neutral,Офисное помещение будет возвышаться над реконструированной станцией метро Cannon Street.
"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",neutral,"Согласно первоначальному плану слияния, Scanfil получит 79% акций объединенного бизнеса."
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",negative,"В результате компания временно уволит 25% всего персонала, примерно 270 человек, на заводах Киркконумми и Нивала."
"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",positive,"В 2006 году Kone получила заказ от Aker Yards на поставку 43 индивидуальных лифтов для самого первого круизного лайнера Genesis, строительство которого планируется завершить в 2009 году."
The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .,neutral,Служба также позволяет пользователям просматривать электронную почту в формате HTML и дополнена 23 дополнительными языками на выбор.
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",neutral,"Ранее Гримальди владел 46,43% акций финской компании после предложения о поглощении, объявленного в ноябре 2006 года."
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,positive,"ОБНОВЛЕНИЕ 3. Акции Auto Trader выросли на крупнейшем в Великобритании листинге, обеспеченном частными инвестициями."
"So far as is known , he did not sell shares that he owns personally .",neutral,"Насколько известно, акции, которыми он владеет лично, он не продавал."
"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",neutral,"(ADPnews) - 21 октября 2009 г. - Финская ИТ-консалтинговая компания Tieto Oyj (HEL: TIE1V) сообщила сегодня, что ее чистая прибыль упала до 29,4 миллиона евро (43,9 миллиона долларов США) за первые девять месяцев 2009 года с 58,7 миллиона евро за тот же период. период о"
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",neutral,"Соответствующее увеличение уставного капитала Ahlstrom на 85 432,50 евро было внесено сегодня в торговый реестр."
"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .",neutral,"Следуя своей стратегии, компания Tikkurila создала в Алматы, Казахстан, полностью принадлежащую ей торговую компанию ТОО «Тиккурила» для реализации декоративных красок под финским брендом Tikkurila и российским брендом Teks."
Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,neutral,Ссылки по теме: Гибкая базовая нагрузка. Генераторная установка Wartsila32. Конверсия газа. Это более короткая из двух версий данного пресс-релиза.
"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",neutral,"Изобретатели — Бюландер Йохан, Понтен Фредрик и Лундберг Йорген."
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral,"Изобретатели — Муккавилли Кришна Киран, Сабхарвал Ашутош и Аажанг Бехнаам."
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",positive,"В третьем квартале чистый объем продаж увеличился на 12% в годовом исчислении до 159,5 млн евро, или на 6% при росте сопоставимых валютных курсов."
"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia .",neutral,"Подразделение сетевых испытаний является частью бизнес-сегмента тестирования и автоматизации компании Elektrobit. В нем работают 39 человек в Финляндии и 22 человека за рубежом, в основном в США и Азии."
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",positive,"Справедливая стоимость инвестиционной недвижимости составила 2 534,9 млн евро по сравнению с 2 455,1 млн евро в 2006 году."
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive,"Разводненная прибыль на акцию выросла до 3,68 евро с 0,50 евро."
Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,positive,Длинные акции VVUS по цене $VVUS в качестве опциона колл со сроком действия... хм... СЕГОДНЯ. Нажимаем HOD здесь.
"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",neutral,"Обратные рейсы из Штутгарта будут выполняться каждое утро, а также вечерние вылеты по четвергам, пятницам и воскресеньям."
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,positive,Корпорация Raute получила заказы на сумму более 12 миллионов евро от ООО «Илим Братский ДОК» в России.
