headline,sentiment,translated_text
Cryptocurrencies are becoming a topic of conversation in educational institutions,positive,Криптовалюты становятся темой разговоров в образовательных учреждениях
Bitcoin has become a tool for the implementation of international projects in the field of blockchain,positive,Биткойн стал инструментом реализации международных проектов в сфере блокчейна
Interest in cryptocurrencies is growing among insurance companies,positive,Интерес к криптовалютам среди страховых компаний растет
The value of bitcoin is affected by macroeconomic indicators,neutral,На стоимость биткойна влияют макроэкономические показатели
Bitcoin has become the object of long-term analytical forecasts,positive,Биткойн стал объектом долгосрочных аналитических прогнозов
Security technologies on cryptocurrency platforms are expected to improve,positive,"Ожидается, что технологии безопасности на криптовалютных платформах улучшатся."
Bitcoin is becoming part of mandatory disciplines in educational programs,positive,Биткойн становится частью обязательных дисциплин в образовательных программах
The risks of hacking cryptocurrency wallets remain high,negative,Риски взлома криптовалютных кошельков остаются высокими
Cryptocurrencies are causing an increase in interest in blockchain technologies in business,positive,Криптовалюты вызывают рост интереса к блокчейн-технологиям в бизнесе
Bitcoin has become the object of legislative initiatives to combat crime,neutral,Биткойн стал объектом законодательных инициатив по борьбе с преступностью
An increase in the number of cryptocurrency ATMs is expected next year,positive,В следующем году ожидается увеличение количества криптовалютных банкоматов
Investors are reviewing their investment strategy due to the instability of bitcoin,negative,Инвесторы пересматривают свою инвестиционную стратегию из-за нестабильности биткойна
Demand for bitcoin is growing among online retailers,positive,Спрос на биткоин среди интернет-торговцев растет
Bitcoin is becoming an object of interest to consumer protection regulators,neutral,Биткойн становится объектом интереса регуляторов по защите прав потребителей
Investors are paying attention to the growing market of decentralized finance,positive,Инвесторы обращают внимание на растущий рынок децентрализованного финансирования
Cryptocurrencies attract attention as a tool for international transfers,positive,Криптовалюты привлекают внимание как инструмент международных переводов
Bitcoin has become part of the strategy of institutional portfolios,positive,Биткойн стал частью стратегии институциональных портфелей
Bitcoin transactions are being investigated for financial fraud,negative,Биткойн-транзакции расследуются на предмет финансового мошенничества
Interest in cryptocurrencies is growing among large technology companies,positive,Интерес к криптовалютам растет среди крупных технологических компаний
Bitcoin is becoming the object of debate due to its environmental impact,neutral,Биткойн становится объектом дискуссий из-за его воздействия на окружающую среду
Demand for cryptocurrencies is growing in countries with high inflation,positive,Спрос на криптовалюты растет в странах с высокой инфляцией
Bitcoin is becoming the subject of legal disputes on property issues,neutral,Биткойн становится предметом юридических споров по вопросам собственности
Investors express concerns about the lack of insurance on cryptocurrency exchanges,negative,Инвесторы выражают обеспокоенность отсутствием страховки на криптовалютных биржах
Cryptocurrencies are entering into long-term investment strategies of large pension funds,positive,Криптовалюты входят в долгосрочные инвестиционные стратегии крупных пенсионных фондов
Bitcoin is becoming subject to regulation due to financial transparency,neutral,Биткойн становится объектом регулирования из-за финансовой прозрачности
Interest in cryptocurrencies is expected to grow in countries with limited access to financial services,positive,"Ожидается, что интерес к криптовалютам будет расти в странах с ограниченным доступом к финансовым услугам."
Investors are rethinking strategies for long-term investments in bitcoin,negative,Инвесторы переосмысливают стратегии долгосрочных инвестиций в биткойны
Bitcoin is becoming a means of ensuring transparency of charitable organizations,positive,Биткойн становится средством обеспечения прозрачности благотворительных организаций
Demand for cryptocurrencies remains stable during the period economic uncertainty,positive,Спрос на криптовалюты остается стабильным в период экономической неопределенности
Bitcoin is becoming the subject of discussion at world economic forums,neutral,Биткойн становится предметом обсуждения на мировых экономических форумах
Innovations in the field of cryptocurrencies can change the approach to digital payments,positive,Инновации в сфере криптовалют могут изменить подход к цифровым платежам
Bitcoin has become the object of analysis due to the growing interest of retail investors,positive,Биткоин стал объектом анализа из-за растущего интереса розничных инвесторов
Stricter security measures are expected on cryptocurrency exchanges,negative,На криптовалютных биржах ожидаются более строгие меры безопасности
Cryptocurrencies are becoming part of a long-term investment strategy,positive,Криптовалюты становятся частью долгосрочной инвестиционной стратегии
Bitcoin has become the object of legislative initiatives to combat money laundering money,neutral,Биткойн стал объектом законодательных инициатив по борьбе с отмыванием денег
Interest in cryptocurrencies is growing in countries with unstable national currencies,positive,Интерес к криптовалютам растет в странах с нестабильными национальными валютами
Bitcoin is becoming an object of analysis for risk management strategies,neutral,Биткойн становится объектом анализа стратегий управления рисками
Demand for cryptocurrencies is growing in the online gaming sector,positive,Спрос на криптовалюты растет в секторе онлайн-игр
Bitcoin is becoming part of a long-term investment strategy,positive,Биткойн становится частью долгосрочной инвестиционной стратегии
An increase in the number of cryptocurrency startups is expected next year,positive,В следующем году ожидается рост количества криптовалютных стартапов
Investors are reviewing their investment strategy due to the instability of bitcoin,negative,Инвесторы пересматривают свою инвестиционную стратегию из-за нестабильности биткойна
Interest in bitcoin is growing in countries with unstable economies,positive,Интерес к биткоину растет в странах с нестабильной экономикой
Bitcoin is becoming part of the discussion among financial analysts,neutral,Биткойн становится частью дискуссии среди финансовых аналитиков
The number of cryptocurrency startups is expected to grow next year,positive,"Ожидается, что в следующем году количество криптовалютных стартапов вырастет"
Investors face the risks of hacking on cryptocurrency exchanges,negative,Инвесторы сталкиваются с рисками взлома криптовалютных бирж
Bitcoin has become the object of interest of global hedge funds,positive,Биткойн стал объектом интереса мировых хедж-фондов
Cryptocurrencies are gaining popularity among millennials,positive,Криптовалюты набирают популярность среди миллениалов
Bitcoin is becoming part of a long-term investment strategy,positive,Биткойн становится частью долгосрочной инвестиционной стратегии
Innovative blockchain technologies support the growth of bitcoin,positive,Инновационные технологии блокчейна поддерживают рост биткойнов
Bitcoin is becoming an object of attention in the field of global finance,positive,Биткойн становится объектом внимания в сфере глобальных финансов
A decrease in the value of bitcoin entails a decrease in investor interest,negative,Снижение стоимости биткоина влечет за собой снижение интереса инвесторов
Cryptocurrencies are becoming part of a portfolio diversification strategy,positive,Криптовалюты становятся частью стратегии диверсификации портфеля
Bitcoin is overtaking traditional assets in profitability,positive,Биткойн обгоняет традиционные активы по прибыльности
Investors are being warned against investments in cryptocurrencies due to risks,negative,Инвесторов предостерегают от инвестиций в криптовалюты из-за рисков
Bitcoin is recognized as a means of ensuring financial security,positive,Биткойн признан средством обеспечения финансовой безопасности
Transactions with cryptocurrencies are subject to state regulation,neutral,Операции с криптовалютами подлежат государственному регулированию
Interest in bitcoin remains stable despite price fluctuations,positive,"Интерес к биткойнам остается стабильным, несмотря на колебания цен"
Bitcoin becomes the object of speculation in financial markets,negative,Биткойн становится объектом спекуляций на финансовых рынках
Investments in cryptocurrencies become part of investment portfolios,positive,Инвестиции в криптовалюты становятся частью инвестиционных портфелей
Bitcoin is criticized by traditional financial institutions,negative,Биткойн подвергается критике со стороны традиционных финансовых институтов
Demand for cryptocurrencies are growing among small businesses,positive,Спрос на криптовалюты среди малого бизнеса растет
Bitcoin is becoming part of the long-term strategy of large investment funds,positive,Биткойн становится частью долгосрочной стратегии крупных инвестиционных фондов
Interest in cryptocurrencies remains stable in various countries,positive,Интерес к криптовалютам остается стабильным в разных странах
Bitcoin is becoming subject to regulation in countries with a developed financial system,neutral,Биткойн становится объектом регулирования в странах с развитой финансовой системой
The growth of bitcoin's popularity among entrepreneurs and startups,positive,Рост популярности биткоина среди предпринимателей и стартапов
Bitcoin is becoming part of the strategy of institutional investors,positive,Биткойн становится частью стратегии институциональных инвесторов
Investment in cryptocurrency startups is expected to grow in the coming months,positive,"Ожидается, что в ближайшие месяцы инвестиции в криптовалютные стартапы вырастут."
The decline in the value of bitcoin is alarming among long-term investors,negative,Снижение стоимости биткойна вызывает тревогу среди долгосрочных инвесторов
Cryptocurrencies are gaining popularity in the field of online payments,positive,Криптовалюты набирают популярность в сфере онлайн-платежей
Bitcoin is becoming part of discussions about the future of financial technologies,neutral,Биткойн становится частью дискуссий о будущем финансовых технологий
Investors are expressing concerns about the security of bitcoin transactions,negative,Инвесторы выражают обеспокоенность по поводу безопасности биткойн-транзакций
Bitcoin is becoming a subject of study in the academic environment,neutral,Биткойн становится предметом изучения в академической среде
An increase in the number of cryptocurrency exchanges is expected next year,positive,В следующем году ожидается увеличение количества криптовалютных бирж
Interest in cryptocurrencies remains stable despite regulation,positive,"Интерес к криптовалютам остается стабильным, несмотря на регулирование"
Bitcoin is becoming part of a long-term investment strategy,positive,Биткойн становится частью долгосрочной инвестиционной стратегии
Demand for cryptocurrencies is growing in countries with high inflation,positive,Спрос на криптовалюты растет в странах с высокой инфляцией
Bitcoin is becoming the subject of investigations by financial regulators,negative,Биткойн становится предметом расследований финансовых регуляторов
Cryptocurrencies are gaining popularity among enterprises and businessmen,positive,Криптовалюты набирают популярность среди предприятий и бизнесменов
Bitcoin is becoming part of the strategy of institutional investors,positive,Биткойн становится частью стратегии институциональных инвесторов
An increase in the number of cryptocurrency startups is expected in the coming months,positive,В ближайшие месяцы ожидается рост количества криптовалютных стартапов
Interest in cryptocurrencies is growing among entrepreneurs and startups,positive,Интерес к криптовалютам растет среди предпринимателей и стартапов
Bitcoin has become part of the long-term investment strategies of institutional players,positive,Биткойн стал частью долгосрочных инвестиционных стратегий институциональных игроков
Investors are expressing caution due to sharp fluctuations in bitcoin prices,negative,Инвесторы выражают осторожность из-за резких колебаний цен на биткойны
Bitcoin is gaining popularity among traditional banks to develop their own cryptocurrency products,positive,"Биткойн набирает популярность среди традиционных банков, разрабатывающих собственные криптовалютные продукты."
The growth in the number of cryptocurrency platforms contributes to the diversity of investment opportunities,positive,Рост количества криптовалютных платформ способствует разнообразию инвестиционных возможностей.
Experts warn about the possible impact of cryptocurrencies on the stability of global financial markets,negative,Эксперты предупреждают о возможном влиянии криптовалют на стабильность мировых финансовых рынков
Bitcoin becomes the object of research by the academic community,neutral,Биткойн становится объектом исследований академического сообщества
Investors pay attention to energy costs and environmental issues related to bitcoin mining,negative,"Инвесторы обращают внимание на затраты на электроэнергию и экологические проблемы, связанные с добычей биткойнов."
Cryptocurrencies are criticized for lack of regulation and control,negative,Криптовалюты критикуют за отсутствие регулирования и контроля.
Bitcoin becomes part of the stock market strategy market for portfolio diversification,positive,Биткойн становится частью рынка стратегий фондового рынка для диверсификации портфеля
Interest in stable cryptocurrencies is growing in the face of market volatility,positive,Интерес к стабильным криптовалютам растет в условиях волатильности рынка
Bitcoin is recognized as a means of payment in some online stores and services,positive,Биткойн признан средством платежа в некоторых интернет-магазинах и сервисах.
Investors assess the growth potential of bitcoin in the face of increased inflation,positive,Инвесторы оценивают потенциал роста биткоина в условиях роста инфляции
Bitcoin has become the object of attention of advertising campaigns of financial institutions,neutral,Биткойн стал объектом внимания рекламных кампаний финансовых учреждений
Investors are afraid of possible regulatory risks in relation to cryptocurrencies,negative,Инвесторы опасаются возможных регуляторных рисков в отношении криптовалют
Cryptocurrencies attract attention as a means of transferring money across borders,positive,Криптовалюты привлекают внимание как средство перевода денег через границы.
Bitcoin has become part of the strategy of many hedge funds to protect against inflation,positive,Биткойн стал частью стратегии многих хедж-фондов по защите от инфляции
Experts are considering the prospects of introducing cryptocurrency technologies into public services,neutral,Эксперты рассматривают перспективы внедрения криптовалютных технологий в госуслуги
Investors are calling for the development of standards and regulations for cryptocurrency markets,neutral,Инвесторы призывают к разработке стандартов и правил для криптовалютных рынков
Bitcoin is becoming an object of interest in the field of charity and public initiatives,positive,Биткойн становится объектом интереса в сфере благотворительности и общественных инициатив
Investors express concern about possible threats to cybersecurity in the field of cryptocurrencies,negative,Инвесторы выражают обеспокоенность возможными угрозами кибербезопасности в сфере криптовалют
Cryptocurrencies are becoming part of long-term asset management strategy,positive,Криптовалюты становятся частью долгосрочной стратегии управления активами
Bitcoin is becoming an object of discussion among financial regulators and governments,neutral,Биткойн становится объектом обсуждения финансовых регуляторов и правительств
Investors are actively looking for opportunities to hedge risks using cryptocurrencies,positive,Инвесторы активно ищут возможности хеджировать риски с помощью криптовалют.
Bitcoin is becoming a popular object of trading on major financial exchanges,positive,Биткойн становится популярным объектом торгов на крупнейших финансовых биржах
Experts predict an increase in interest in cryptocurrencies from pension funds,positive,Эксперты прогнозируют рост интереса к криптовалютам со стороны пенсионных фондов
Bitcoin is becoming part of financial education and trainings for investors,positive,Биткойн становится частью финансового образования и тренингов для инвесторов
Investors pay attention to the impact of news events on the cryptocurrency markets,neutral,Инвесторы обращают внимание на влияние новостных событий на рынки криптовалют
Cryptocurrencies are becoming the subject of discussion at the state level in various countries,neutral,Криптовалюты становятся предметом обсуждения на государственном уровне в различных странах.
Bitcoin is becoming a popular object for trading and investing among newcomers,positive,Биткойн становится популярным объектом для торговли и инвестирования среди новичков
Experts warn about the risks of interconnection of cryptocurrency markets with traditional assets,neutral,Эксперты предупреждают о рисках взаимосвязи рынков криптовалют с традиционными активами
Investors assess the potential of bitcoin as a means of protection against hyperinflation,positive,Инвесторы оценивают потенциал биткоина как средства защиты от гиперинфляции
Bitcoin is becoming an object of interest in the field of research activities of financial institutions,neutral,Биткойн становится объектом интереса в сфере исследовательской деятельности финансовых институтов
Interest in cryptocurrencies is growing among traditional banks and financial companies,positive,Интерес к криптовалютам растет среди традиционных банков и финансовых компаний
Bitcoin is becoming part of a public dialogue about the future of financial technologies,neutral,Биткойн становится частью общественного диалога о будущем финансовых технологий
Investors express concerns about the level of concentration of bitcoin mining in certain regions,negative,Инвесторы выражают обеспокоенность по поводу уровня концентрации добычи биткойнов в некоторых регионах
Cryptocurrencies are becoming the object of attention as part of the discussion of environmental aspects of their activities,neutral,Криптовалюты становятся объектом внимания в рамках обсуждения экологических аспектов их деятельности.
Bitcoin is becoming part of the long-term investment strategy for insurance companies,positive,Биткойн становится частью долгосрочной инвестиционной стратегии страховых компаний
Experts are discussing possible scenarios for integrating cryptocurrencies into the global economic system,neutral,Эксперты обсуждают возможные сценарии интеграции криптовалют в мировую экономическую систему
Investors are actively analyzing the impact of regulation on the prospects of the cryptocurrency market,neutral,Инвесторы активно анализируют влияние регулирования на перспективы рынка криптовалют
Bitcoin is becoming the subject of study in courses on blockchain technologies at universities,neutral,Биткойн становится предметом изучения на курсах по блокчейн-технологиям в университетах
Investors express concern about the possible negative consequences of bitcoin hard forks,negative,Инвесторы выражают обеспокоенность по поводу возможных негативных последствий хардфорка биткоина
Cryptocurrencies are gaining importance as a means of international transfers,positive,Криптовалюты приобретают все большее значение как средство международных переводов.
Bitcoin is becoming part of a long-term investment strategy for pension funds,positive,Биткойн становится частью долгосрочной инвестиционной стратегии пенсионных фондов
Experts predict an increase in interest in cryptocurrencies from institutional investors,positive,Эксперты прогнозируют рост интереса к криптовалютам со стороны институциональных инвесторов
Bitcoin is becoming part of long-term strategies for large financial consortia,positive,Биткойн становится частью долгосрочных стратегий крупных финансовых консорциумов
Investors express concerns about the possible impact of the cryptocurrency market on the stability of financial systems,negative,Инвесторы выражают обеспокоенность по поводу возможного влияния рынка криптовалют на стабильность финансовых систем
"Bitcoin is recognized as a legal means of payment in some countries, which contributes to its recognition",positive,"Биткойн признан законным платежным средством в некоторых странах, что способствует его признанию."
The growth in the number of cryptocurrency decentralized financial applications (DeFi) is of interest to investors,positive,Рост количества криптовалютных децентрализованных финансовых приложений (DeFi) вызывает интерес у инвесторов
Experts are considering the pros and cons of introducing central banking digital currencies (CBDC),neutral,Эксперты рассматривают плюсы и минусы внедрения цифровых валют центральных банков (CBDC)
Investors are showing interest in buying cryptocurrencies within pension investment portfolios,positive,Инвесторы проявляют интерес к покупке криптовалют в рамках пенсионных инвестиционных портфелей
Bitcoin is becoming the subject of debate about the ratio of its value to the real economy,neutral,Биткойн становится предметом споров о соотношении его стоимости с реальной экономикой.
Interest in stablecoins (stable cryptocurrencies) is growing in the face of market volatility,positive,Интерес к стейблкоинам (стабильным криптовалютам) растет в условиях волатильности рынка
Bitcoin has become part of the strategy of investment funds to protect against inflation,positive,Биткойн стал частью стратегии инвестиционных фондов по защите от инфляции
Experts express opinions on the role of cryptocurrencies in the global economy in the long term,neutral,Эксперты высказывают мнение о роли криптовалют в мировой экономике в долгосрочной перспективе
Investors assess the prospects for using blockchain technologies in various industries,positive,Инвесторы оценивают перспективы использования блокчейн-технологий в различных отраслях
Bitcoin is becoming an object of discussion in the context of digital footprint and data privacy,neutral,Биткойн становится объектом обсуждения в контексте цифрового следа и конфиденциальности данных.
The growth of interest in cryptocurrencies in developing countries affects the global distribution of assets,positive,Рост интереса к криптовалютам в развивающихся странах влияет на глобальное распределение активов
Investors express concerns about the security level of cryptocurrency wallets,negative,Инвесторы выражают обеспокоенность по поводу уровня безопасности криптовалютных кошельков
Bitcoin is becoming the subject of regulatory discussions due to its impact on financial stability,neutral,Биткойн становится предметом дискуссий регулирующих органов из-за его влияния на финансовую стабильность.
Experts are considering the prospects for using cryptocurrencies in global trade,neutral,Эксперты рассматривают перспективы использования криптовалют в мировой торговле
Investors are drawing attention to the sustainability and environmental friendliness of bitcoin mining,neutral,Инвесторы обращают внимание на устойчивость и экологичность майнинга биткойнов
Bitcoin is becoming an object of interest due to its role in diversifying investment portfolios,positive,Биткойн становится объектом интереса из-за его роли в диверсификации инвестиционных портфелей.
The growth of the use of cryptocurrencies in the field of online payments leads to a change in traditional financial models,positive,Рост использования криптовалют в сфере онлайн-платежей приводит к изменению традиционных финансовых моделей.
Experts are discussing the regulation of cryptocurrency ICOs (Initial Coin Offerings),neutral,Эксперты обсуждают регулирование криптовалютных ICO (первичных предложений монет)
Investors assess the potential of using cryptocurrencies as a means of saving,positive,Инвесторы оценивают потенциал использования криптовалют как средства сбережений
Bitcoin is becoming an object of attention in light of its role in ensuring financial confidentiality,neutral,Биткойн становится объектом внимания в свете его роли в обеспечении финансовой конфиденциальности.
Experts express opinions on the prospects for the development of cryptocurrencies in the context of global economic crises,neutral,Эксперты высказывают мнение о перспективах развития криптовалют в условиях мирового экономического кризиса
Investors are showing interest in cryptocurrencies as a means of protection against hyperinflation,positive,Инвесторы проявляют интерес к криптовалютам как средству защиты от гиперинфляции
Bitcoin is becoming part of long-term strategies for institutional investors in the real estate sector,positive,Биткойн становится частью долгосрочных стратегий институциональных инвесторов в секторе недвижимости
The growth of adoption of cryptocurrency payment systems affects the structure of global financial flows,positive,Рост внедрения криптовалютных платежных систем влияет на структуру мировых финансовых потоков
Experts analyze the impact of cryptocurrencies on traditional banking models,neutral,Эксперты анализируют влияние криптовалют на традиционные банковские модели
Investors pay attention to the risks of cryptocurrency derivatives and financial instruments,negative,Инвесторы обращают внимание на риски криптовалютных деривативов и финансовых инструментов
Bitcoin is becoming the object of the debate about the ratio of its value to the real economy,neutral,Биткойн становится объектом споров о соотношении его стоимости с реальной экономикой
The growth of the use of cryptocurrencies as a means for charitable donations,positive,Рост использования криптовалют как средства благотворительных пожертвований
Experts are discussing the prospects for the creation of national digital currencies (CBDC) by states,neutral,Эксперты обсуждают перспективы создания государствами национальных цифровых валют (CBDC)
Investors are showing interest in cryptocurrencies due to their role in modern financial innovations,positive,Инвесторы проявляют интерес к криптовалютам из-за их роли в современных финансовых инновациях.
Bitcoin is becoming an object of discussion in the context of social responsibility and ethical investment,neutral,Биткойн становится объектом обсуждения в контексте социальной ответственности и этических инвестиций
The growth of the use of cryptocurrency technologies in the medical field to improve data and research,positive,Рост использования криптовалютных технологий в медицинской сфере для улучшения данных и исследований
Experts are considering issues of security and transparency in the field of insurance based on blockchain technology,neutral,Эксперты рассматривают вопросы безопасности и прозрачности в сфере страхования на основе технологии блокчейн
Investors express opinions on the risks and potential of cryptocurrencies in the context of global economic changes,neutral,Инвесторы высказывают мнение о рисках и потенциале криптовалют в контексте глобальных экономических изменений
Bitcoin is becoming the object of research in university courses on finance and blockchain technologies,neutral,Биткойн становится объектом исследования в университетских курсах по финансам и технологиям блокчейна
The growth of interest in stablecoins in conditions of market volatility cryptocurrencies,positive,Рост интереса к стейблкоинам в условиях волатильности рынка криптовалют
Experts are considering the prospects of using cryptocurrency technologies in the field of sustainable development,neutral,Эксперты рассматривают перспективы использования криптовалютных технологий в сфере устойчивого развития
Investors are assessing the potential of using cryptocurrencies in the field of cultural and creative industries,positive,Инвесторы оценивают потенциал использования криптовалют в сфере культурных и креативных индустрий
Bitcoin is becoming the subject of attention in light of its impact on traditional startup financing models,neutral,Биткойн становится предметом внимания в свете его влияния на традиционные модели финансирования стартапов.
Growing interest in cryptocurrencies in the field of online games and virtual worlds,positive,Растущий интерес к криптовалютам в сфере онлайн-игр и виртуальных миров
Experts are discussing possible scenarios for using cryptocurrencies in cybersecurity and cyber attacks,neutral,Эксперты обсуждают возможные сценарии использования криптовалют в кибербезопасности и кибератаках
Investors are showing interest in cryptocurrencies due to the prospects of their use in medical research,positive,Инвесторы проявляют интерес к криптовалютам из-за перспектив их использования в медицинских исследованиях
Bitcoin is becoming an object of discussion in connection with issues of financial transparency and the fight against corruption,neutral,Биткойн становится объектом обсуждения в связи с вопросами финансовой прозрачности и борьбы с коррупцией
The growth in the number of cryptocurrency startups and innovative projects,positive,Рост количества криптовалютных стартапов и инновационных проектов
Experts analyze the prospects for using cryptocurrencies in conditions of geopolitical tensions,neutral,Эксперты анализируют перспективы использования криптовалют в условиях геополитической напряженности
Investors are showing interest in cryptocurrencies as a tool to improve financial inclusion,positive,Инвесторы проявляют интерес к криптовалютам как к инструменту повышения финансовой доступности
Bitcoin is becoming the subject of attention in connection with the growing role of cryptocurrency ETFs (exchange-traded funds),neutral,Биткойн становится предметом внимания в связи с растущей ролью криптовалютных ETF (биржевых фондов).
Growing interest in cryptocurrencies due to the development of wearable device technology and the Internet of Things,positive,Растущий интерес к криптовалютам в связи с развитием технологий носимых устройств и Интернета вещей.
Experts are considering the prospects for using cryptocurrencies in the field of energy and ecology,neutral,Эксперты рассматривают перспективы использования криптовалют в сфере энергетики и экологии
Investors are paying attention to the growing popularity of cryptocurrencies among young people,positive,Инвесторы обращают внимание на растущую популярность криптовалют среди молодежи
Interest in cryptocurrencies is growing in the face of global economic uncertainties,positive,Интерес к криптовалютам растет в условиях глобальной экономической неопределенности
Bitcoin is becoming the subject of discussion in connection with the possibility of creating digital national currencies,neutral,Биткойн становится предметом обсуждения в связи с возможностью создания цифровых национальных валют
Investors are paying attention to the potential of cryptocurrency technologies to solve social problems,positive,Инвесторы обращают внимание на потенциал криптовалютных технологий для решения социальных проблем
Bitcoin is becoming the object of research in the field of financial geography,neutral,Биткойн становится объектом исследований в области финансовой географии
Cryptocurrencies are of interest as a tool for financial inclusion in developing countries,positive,Криптовалюты представляют интерес как инструмент финансовой доступности в развивающихся странах.
Bitcoin is becoming an object of discussion in connection with the possibility of using it in international trade,neutral,Биткойн становится объектом обсуждения в связи с возможностью его использования в международной торговле
Investors are paying attention to the role of cryptocurrencies in the field of microfinance and assistance,positive,Инвесторы обращают внимание на роль криптовалют в сфере микрофинансирования и помощи
